fixture	family	backend	platform_os	platform_arch	page_index	max_edge	width	height	decoded_pixel_hash	encoded_artifact_hash	hash_algorithm	tolerance_policy	reviewer	reviewed_at	notes
fixtures/generated/email-attachment-summary.pdf	email-web-archive	rust-native	any	any	0	160	160	120	6872f1f7246b1dcf	41aaa1693cd24b1d	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated email attachment summary with inert embedded file metadata.
fixtures/generated/pdf20-basic-office.pdf	office-export	rust-native	any	any	0	160	160	102	dd266d7163319322	000a7c8740879464	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated PDF 2.0 office-style page using only existing native rendering features.
fixtures/generated/pdf20-associated-files.pdf	mixed-layout	rust-native	any	any	0	160	160	93	9f89d51fb3c24267	805a53a1b9808a0e	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated PDF 2.0 document with associated file metadata that does not affect thumbnail output.
fixtures/generated/spot-invoice-devicen-stamp.pdf	presentation	rust-native	any	any	0	160	160	118	f770a8909067026a	29490a07917bb619	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated invoice-style DeviceN spot-color stamp sample for visual review.
fixtures/generated/stamp-annotation-rotated-appearance.pdf	mixed-layout	rust-native	any	any	0	160	140	110	e07da372898ef5c3	38dfd09536a50dfd	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated print-visible rotated stamp annotation with explicit normal appearance.
fixtures/generated/ccitt-g3-1d-image-mask.pdf	scan	rust-native	any	any	0	160	120	140	e04b74449f42ef25	7b586c7e0b84694c	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated CCITTFaxDecode Group 3 1D image-mask fixture.
fixtures/generated/ccitt-g3-mixed-image-mask.pdf	scan	rust-native	any	any	0	160	120	140	25277e891ed336c5	9621078a379f0199	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated CCITTFaxDecode mixed Group 3 1D/2D image-mask fixture.
fixtures/generated/ccitt-g4-devicegray-blackis1.pdf	scan	rust-native	any	any	0	160	120	140	e04b74449f42ef25	7b586c7e0b84694c	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated CCITTFaxDecode Group 4 DeviceGray fixture with BlackIs1 polarity.
fixtures/generated/ccitt-g3-1d-eol-aligned.pdf	scan	rust-native	any	any	0	160	120	140	e04b74449f42ef25	7b586c7e0b84694c	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated CCITTFaxDecode Group 3 fixture with EOL, byte alignment, and EndOfBlock false.
fixtures/generated/engineering-floorplan-precision.pdf	report	rust-native	any	any	0	160	160	114	1da20834880ec7f2	e1a5bc97e03b7c03	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated engineering floorplan with fine grid, walls, doors, dimensions, and labels.
fixtures/generated/engineering-large-transform-detail.pdf	report	rust-native	any	any	0	160	160	107	66d920229c77d712	85d314fdb958f44d	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated large-coordinate engineering detail with dense grid and dimension mark.
fixtures/generated/engineering-schematic-symbols.pdf	report	rust-native	any	any	0	160	160	107	36e884424106e8df	bca034c333dcfa6e	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated schematic symbol sheet with repeated symbols, buses, and labels.
fixtures/generated/freetext-annotation-without-appearance.pdf	mixed-layout	rust-native	any	any	0	160	120	80	c70b107eb8873d61	c06695dc3151f682	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated FreeText annotation without appearance stream; native synthesizes bounded static appearance.
fixtures/generated/long-document-navigation-deck.pdf	office-export	rust-native	any	any	0	160	114	160	024abe2fcb6d9785	3a7cf1843eedf5be	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated twelve-page long document fixture for first, next, and random-page navigation sampling.
fixtures/generated/financial-annual-report-page.pdf	office-export	rust-native	any	any	0	160	160	114	6eb0df8a31e4bada	fa55c32d36234800	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated annual-report snapshot with dense metrics and chart bars.
fixtures/generated/financial-cashflow-statement.pdf	office-export	rust-native	any	any	0	160	160	122	c9077f5868c6032e	2b5248a75ece2d86	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated cashflow statement with strict decimal columns and negative values.
fixtures/generated/optional-content-layer-off.pdf	presentation	rust-native	any	any	0	160	120	80	7e47d32cd07e7a25	8d5742b26905fce1	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated default-hidden optional content layer fixture.
fixtures/generated/optional-content-layer-on.pdf	presentation	rust-native	any	any	0	160	120	80	66738b8d0f491125	6fa49bd6f4189657	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated default-visible optional content layer fixture.
fixtures/generated/optional-content-nested-layers.pdf	presentation	rust-native	any	any	0	160	140	90	b115ec4cbb6cb105	bc1b3d6a6549802d	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated nested OCG fixture with hidden inner layer and visible enclosing layer.
fixtures/real-world/uspto-patent-6289801.pdf	real-scan	rust-native	any	any	0	160	109	160	7c93f550cd203a65	1968923639e3834b	fnv1a64	exact	ferrugo-maintainers	2026-07-05	USPTO patent image PDF exercises scanned/large-page geometry and high-DPI raster pressure.
